"filename", "language", "Python", "YAML", "JSON", "Shell Script", "pip requirements", "Markdown", "Docker", "comment", "blank", "total"
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\metrics.py", "Python", -283, 0, 0, 0, 0, 0, 0, -30, -70, -383
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\plots.py", "Python", -426, 0, 0, 0, 0, 0, 0, -18, -70, -514
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\segment\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\segment\augmentations.py", "Python", -61, 0, 0, 0, 0, 0, 0, -19, -21, -101
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\segment\dataloaders.py", "Python", -299, 0, 0, 0, 0, 0, 0, -23, -41, -363
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\segment\general.py", "Python", -126, 0, 0, 0, 0, 0, 0, -4, -32, -162
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\segment\loss.py", "Python", -153, 0, 0, 0, 0, 0, 0, -16, -27, -196
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\segment\metrics.py", "Python", -181, 0, 0, 0, 0, 0, 0, -1, -36, -218
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\segment\plots.py", "Python", -126, 0, 0, 0, 0, 0, 0, -9, -16, -151
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\torch_utils.py", "Python", -396, 0, 0, 0, 0, 0, 0, -7, -78, -481
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\utils\triton.py", "Python", -72, 0, 0, 0, 0, 0, 0, -1, -19, -92
"c:\Users\Q\Desktop\paper2github\model_2D\1yolov5\val.py", "Python", -363, 0, 0, 0, 0, 0, 0, -25, -51, -439
"c:\Users\Q\Desktop\paper2github\model_2D\4DenseNet\param\DenseNet_1D_SRC.py", "Python", -74, 0, 0, 0, 0, 0, 0, -1, -22, -97
"c:\Users\Q\Desktop\paper2github\model_2D\4DenseNet\param\model_paramters2.py", "Python", -4, 0, 0, 0, 0, 0, 0, -2, -2, -8
"c:\Users\Q\Desktop\paper2github\model_2D\5AlexNet\param\AlexNet_1D_CH1_SRC.py", "Python", -36, 0, 0, 0, 0, 0, 0, 0, -3, -39
"c:\Users\Q\Desktop\paper2github\model_2D\5AlexNet\param\model_paramters2.py", "Python", -4, 0, 0, 0, 0, 0, 0, -2, -2, -8
"c:\Users\Q\Desktop\paper2github\model_2D\6SeNet\param\SeNet_1D_1CH_SRC.py", "Python", -45, 0, 0, 0, 0, 0, 0, 0, -11, -56
"c:\Users\Q\Desktop\paper2github\model_2D\6SeNet\param\model_paramters2.py", "Python", -4, 0, 0, 0, 0, 0, 0, -2, -2, -8
"Total", "-", -14067, -5109, -2680, -166, -18, -1122, -25, -1725, -3679, -28591
